-4.825079819383206736e-01,-4.143217586525091438e-06,-4.691951323785120620e-06
6.256669443890090498e-01,1.177152905916522429e-05,3.273570550177612378e-05
1.732685011166309241e+00,1.998559094247318065e-05,-5.295279911037242105e-05
2.839582158472099493e+00,5.927881448882311093e-06,5.319437817699397173e-05
3.946513313534789624e+00,-1.877881423315963094e-05,-3.869303535009915374e-05
5.053486682990108392e+00,-2.415796061356777544e-05,3.094438372295272546e-05
6.160417835201435821e+00,-4.045563473930652697e-06,-2.790399881343464376e-05
7.267314995779775799e+00,1.597227103019887285e-05,-3.278913208310466071e-05
8.374333054686070810e+00,1.580476995196476101e-05,3.887134862263529799e-05
9.482507985718738652e+00,1.215608295572632786e-06,-1.450351488657579535e-05
